Name,Rating,Hospital Ownership,Mortality,Safety,Patient Experience,Effectiveness of Care,Timeliness,Medical Imaging Efficiency
"NYACK HOSPITAL",2,7,2,3,1,2,1,3
"RARITAN BAY MEDICAL CENTER PERTH AMBOY DIVISION",2,5,2,3,1,1,1,2
"BEAUMONT HOSPITAL, ROYAL OAK",3,5,1,1,1,3,1,3
"CHENANGO MEMORIAL HOSPITAL, INC",3,5,2,2,2,2,3,2
"BRONSON BATTLE CREEK HOSPITAL",3,9,2,2,2,2,2,3
"DISTRICT ONE HOSPITAL",4,5,2,2,3,2,3,2
"SHORE MEDICAL CENTER",4,5,2,3,2,2,2,2
"CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR",3,5,2,3,2,2,1,3
"GREENWOOD LEFLORE HOSPITAL",2,2,2,3,1,2,3,2
"FALMOUTH HOSPITAL",3,5,1,1,2,2,2,2
"BETH ISRAEL DEACONESS MEDICAL CENTER",3,5,1,3,2,3,1,1
"ALBANY MEDICAL CENTER HOSPITAL",2,5,2,2,1,2,1,2
"MERCY HOSPITAL",4,5,2,3,3,2,2,3
"NORTHEAST REGIONAL MEDICAL CENTER",4,9,2,3,3,2,3,1
"BROOKDALE HOSPITAL MEDICAL CENTER",1,5,2,1,1,1,1,2
"NATHAN LITTAUER HOSPITAL",3,5,2,2,2,2,2,2
"CONEY ISLAND HOSPITAL",1,2,1,1,1,2,1,2
"ST CATHERINE OF SIENA HOSPITAL",2,5,1,1,1,2,1,2
"METRO HEALTH HOSPITAL",4,5,2,1,3,2,3,2
"SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL",1,9,2,1,2,2,1,2
"ELLIS HOSPITAL",2,9,3,3,1,2,1,3
"NEWTON-WELLESLEY HOSPITAL",4,7,1,2,3,2,1,2
"MERCY HEALTH MUSKEGON",4,5,2,3,1,2,2,2
"HOLLAND COMMUNITY HOSPITAL",5,5,2,2,3,3,3,2
"ST FRANCIS HOSPITAL, ROSLYN",4,6,1,1,3,2,1,2
"ST JAMES HEALTHCARE",3,5,2,1,2,2,3,2
"OZARKS MEDICAL CENTER",3,7,3,3,2,2,2,1
"MASSENA MEMORIAL HOSPITAL",2,2,2,2,1,2,2,2
"CAROLINAS HEALTHCARE SYSTEM NORTHEAST",3,1,3,3,2,2,2,3
"CANTON-POTSDAM HOSPITAL",3,5,2,2,1,2,2,1
"BOLIVAR MEDICAL CENTER",2,9,3,2,2,2,3,2
"ANDERSON REGIONAL MEDICAL CTR",3,5,2,3,2,2,2,1
"COMMUNITY MEDICAL CENTER",3,5,2,2,2,2,2,2
"MARION GENERAL HOSPITAL",3,7,2,2,2,2,3,2
"BAPTIST MEMORIAL HOSPITAL NORTH MS",4,5,2,3,1,2,3,2
"PORTSMOUTH REGIONAL HOSPITAL",3,9,2,3,2,2,3,2
"LOURDES MEDICAL CENTER OF BURLINGTON COUNTY",2,5,2,1,1,3,1,3
"OTSEGO MEMORIAL HOSPITAL",4,5,2,2,3,2,2,2
"LOVELACE WOMEN'S HOSPITAL",3,3,2,2,1,2,2,2
"BEAUMONT HOSPITAL - TAYLOR",4,5,2,3,3,2,2,2
"HIGH POINT REGIONAL HOSPITAL",3,5,2,3,1,2,1,2
"NORTH KANSAS CITY HOSPITAL",4,2,2,3,2,2,2,2
"WYCKOFF HEIGHTS MEDICAL CENTER",1,5,2,2,1,2,1,2
"RENOWN REGIONAL MEDICAL CENTER",1,7,3,1,1,2,2,2
"MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS",3,5,1,3,1,2,1,2
"MERIT HEALTH BILOXI",2,9,2,2,1,2,2,1
"HENRY FORD MACOMB HOSPITAL",2,9,1,1,1,2,1,2
"ENGLEWOOD HOSPITAL AND MEDICAL CENTER",3,5,2,3,1,1,1,2
"ST LUKE'S CORNWALL HOSPITAL",2,7,2,2,1,2,1,2
"GLENS FALLS HOSPITAL",4,5,2,3,3,2,1,3
"JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY",2,5,3,2,2,2,1,3
"CONCORD HOSPITAL",4,5,2,2,3,2,1,2
"BAYSTATE MEDICAL CENTER",3,5,1,3,1,2,1,3
"GOOD SAMARITAN MEDICAL CENTER",3,9,1,3,1,2,1,2
"MCLAREN LAPEER REGION",3,5,1,2,1,2,2,2
"LAKEVIEW MEMORIAL HOSPITAL",4,5,2,2,3,3,3,2
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",3,5,2,1,2,2,2,2
"ST LUKES HOSPITAL OF KANSAS CITY",4,1,1,2,3,2,2,2
"MOUNTAIN VIEW REGIONAL MEDICAL CENTER",3,9,2,3,1,2,1,2
"MISSISSIPPI BAPTIST MEDICAL CENTER",3,5,2,2,3,2,2,3
"OCH REGIONAL MEDICAL CENTER",3,2,3,2,3,2,3,1
"CENTERPOINT MEDICAL CENTER",3,9,3,3,2,2,2,2
"BAPTIST MEM HOSP/ GOLDEN TRIANGLE INC",3,5,2,3,2,2,2,1
"HACKETTSTOWN MEDICAL CENTER",2,6,2,1,1,2,2,2
"GOLDEN VALLEY MEMORIAL HOSPITAL",4,1,2,3,2,1,3,2
"EDWARD W SPARROW HOSPITAL",2,7,3,1,1,3,1,3
"TRINITAS REGIONAL MEDICAL CENTER",2,5,2,2,1,1,1,2
"EXETER HOSPITAL INC",4,5,2,2,3,2,2,2
"NORTHEASTERN NEVADA REGIONAL HOSPITAL",3,5,2,2,1,2,2,2
"HENRY FORD ALLEGIANCE HEALTH",4,7,1,3,1,2,1,2
"PARKLAND MEDICAL CENTER",3,9,2,2,2,2,2,2
"MUNSON MEDICAL CENTER",4,7,2,1,3,2,1,3
"FREMONT HEALTH MEDICAL CENTER",2,2,3,1,2,2,3,1
"BRIGHAM AND WOMEN'S FAULKNER HOSPITAL",4,5,1,2,3,3,1,2
"CENTENNIAL HILLS HOSPITAL MEDICAL CENTER",2,9,2,1,1,2,1,2
"ST JOSEPH'S HOSPITAL HEALTH CENTER",3,5,1,1,2,2,1,3
"WESTERN MISSOURI MEDICAL CENTER",3,1,2,2,2,2,2,2
"PHELPS MEMORIAL HOSPITAL ASSN",3,7,2,2,2,2,1,2
"UP HEALTH SYSTEM - MARQUETTE",3,2,3,2,1,1,2,1
"INSPIRA MEDICAL CENTER ELMER",3,5,2,2,3,1,2,2
"OCEAN MEDICAL CENTER",4,7,2,3,1,2,1,2
"PROGRESS WEST HOSPITAL",3,5,2,2,3,2,2,2
"TUFTS MEDICAL CENTER",2,5,1,1,3,2,1,2
"UNITY HOSPITAL",3,7,2,2,2,2,2,2
"CORTLAND REGIONAL MEDICAL CENTER, INC",3,5,1,2,1,2,1,2
"BILLINGS CLINIC HOSPITAL",4,5,2,2,3,2,1,2
"ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS",3,7,1,1,2,2,1,3
"ST LUKES HOSPITAL",3,5,2,1,2,2,2,2
"HENNEPIN COUNTY MEDICAL CENTER 1",2,2,2,2,1,2,1,2
"ST JOSEPH HOSPITAL",2,5,2,2,1,2,1,2
"CHI HEALTH BERGAN MERCY",4,5,2,3,2,2,3,2
"DOUGLAS COUNTY HOSPITAL",3,2,2,2,3,2,3,2
"MCLAREN MACOMB",2,9,2,1,1,2,1,1
"UNITED HEALTH SERVICES HOSPITALS, INC",2,5,3,1,1,2,1,2
"SINGING RIVER HOSPITAL",2,2,3,2,1,2,2,2
"CRITTENTON HOSPITAL MEDICAL CENTER",3,5,2,2,2,2,2,2
"WINONA HEALTH SERVICES",3,5,2,2,2,2,3,2
"COMMUNITY HEALTH CENTER OF BRANCH COUNTY",4,2,2,3,2,2,2,2
"ST PETER'S HOSPITAL",3,5,1,1,1,2,1,2
"HOLY NAME MEDICAL CENTER",4,5,1,3,1,2,1,2
"MERCY HOSPITAL OF BUFFALO",2,5,3,1,1,2,1,2
"HILLSDALE HOSPITAL",4,5,2,2,2,2,2,2
"WESTCHESTER MEDICAL CENTER",1,1,2,1,1,2,1,1
"LAWRENCE HOSPITAL CENTER",3,5,2,3,1,2,1,2
"BRYAN MEDICAL CENTER",4,5,3,2,3,2,2,2
"SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL",4,5,2,3,2,2,2,3
"PALISADES MEDICAL CENTER",1,5,2,1,1,2,1,2
"GREAT PLAINS HEALTH",3,5,2,2,2,2,2,2
"MAYO CLINIC HEALTH SYSTEM - ALBERT LEA",4,5,2,2,2,2,3,2
"DELTA REGIONAL MEDICAL CENTER",2,2,3,2,1,1,3,2
"ST VINCENT HEALTHCARE",4,6,2,1,3,2,3,3
"SSM HEALTH ST CLARE HOSPITAL - FENTON",3,5,2,3,3,2,2,2
"SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER",3,5,2,3,1,2,2,2
"JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON",4,5,1,2,3,2,1,2
"MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER",3,6,2,2,1,1,2,2
"UNITED HOSPITAL",3,5,2,2,2,2,2,2
"HEYWOOD HOSPITAL",3,5,2,2,2,2,2,2
"MAYO CLINIC HOSPITAL ROCHESTER",5,6,1,2,3,2,2,3
"SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY",4,9,2,3,3,3,3,2
"MAIMONIDES MEDICAL CENTER",2,5,1,2,1,1,1,2
"ST ANTHONY COMMUNITY HOSPITAL",3,6,2,2,3,2,3,2
"MUNSON HEALTHCARE GRAYLING HOSPITAL",4,6,2,2,3,3,2,3
"PLAINS REGIONAL MEDICAL CENTER",3,4,2,2,2,2,2,2
"NYU HOSPITALS CENTER",4,5,1,1,1,2,1,2
"MIDMICHIGAN MEDICAL CENTER - ALPENA",4,9,2,3,1,2,2,1
"PRESBYTERIAN HOSPITAL",3,1,2,1,2,2,1,2
"MCLAREN FLINT",2,5,1,1,1,2,1,1
"INSPIRA MEDICAL CENTER VINELAND",2,5,2,1,1,2,1,2
"MERIT HEALTH RIVER REGION",2,9,2,1,1,2,2,2
"NOVANT HEALTH FORSYTH MEDICAL CENTER",3,5,2,3,1,3,2,3
"LENOX HILL HOSPITAL",3,5,1,1,1,2,1,2
"SAMARITAN HOSPITAL",2,5,2,2,1,2,1,2
"NORTHERN WESTCHESTER HOSPITAL",4,5,1,3,3,2,2,2
"HUNTERDON MEDICAL CENTER",3,5,2,2,2,2,2,2
"MISSOURI DELTA MEDICAL CENTER",3,7,2,2,3,2,3,2
"ST JOSEPH MEDICAL CENTER",3,5,2,2,1,2,3,2
"FAIRVIEW RIDGES HOSPITAL",4,6,2,3,3,2,2,3
"RUTHERFORD REGIONAL MEDICAL CENTER",3,9,2,2,2,2,2,2
"SAINT MARY'S HEALTH CARE",4,6,2,2,3,3,2,2
"ST JOSEPH MERCY OAKLAND",3,5,1,1,1,2,2,3
"UNIVERSITY MEDICAL CENTER",1,2,2,1,1,2,1,2
"STURGIS HOSPITAL",4,2,2,2,3,2,3,2
"ROME MEMORIAL HOSPITAL, INC",2,5,2,2,1,2,1,2
"BRIGHAM AND WOMEN'S HOSPITAL",3,5,1,1,3,2,1,3
"GOOD SAMARITAN HOSPITAL OF SUFFERN",2,6,2,1,1,1,1,2
"SAMARITAN MEDICAL CENTER",2,5,3,1,1,2,1,1
"POPLAR BLUFF REGIONAL MEDICAL CENTER",2,9,2,2,1,1,2,1
"MCLAREN BAY REGION",3,5,2,3,1,2,2,2
"ST VINCENT HOSPITAL",3,9,1,2,2,2,1,2
"ST JOSEPH'S HOSPITAL",4,5,2,3,2,2,2,2
"BENEFIS HOSPITALS INC",4,5,2,2,1,2,1,2
"ST ROSE DOMINICAN HOSPITALS - ROSE DE LIMA CAMPUS",3,6,3,3,1,2,1,3
"SUNRISE HOSPITAL AND MEDICAL CENTER",1,9,3,1,1,2,1,2
"BAPTIST MEMORIAL HOSPITAL DESOTO",2,5,2,2,1,2,1,3
"HUNTINGTON HOSPITAL",3,5,2,3,2,2,1,3
"MCLAREN PORT HURON",2,5,3,2,2,2,2,2
"ST CLOUD HOSPITAL",4,5,1,2,3,3,2,2
"UNM HOSPITAL",1,7,2,1,1,2,1,2
"DICKINSON COUNTY MEMORIAL HOSPITAL",4,2,2,2,2,2,2,2
"EASTERN NEW MEXICO MEDICAL CENTER",2,9,2,1,1,2,1,1
"SISTERS OF CHARITY HOSPITAL",3,5,2,3,1,2,1,2
"VASSAR BROTHERS MEDICAL CENTER",2,5,3,2,1,2,1,3
"VALLEY HOSPITAL",3,5,1,1,2,2,2,2
"NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER",2,9,2,3,1,2,2,2
"SINAI-GRACE HOSPITAL",1,9,1,1,1,2,1,2
"NOVANT HEALTH ROWAN MEDICAL CENTER",3,5,3,2,1,3,2,2
"CARLSBAD MEDICAL CENTER",3,9,2,1,1,2,2,2
"PROMEDICA BIXBY HOSPITAL",3,5,2,2,2,2,2,2
"SOUTHERN OCEAN MEDICAL CENTER",3,5,2,1,1,2,1,2
"BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM",3,5,2,2,2,2,2,2
"METROWEST MEDICAL CENTER",3,5,1,1,1,2,1,2
"MORRISTOWN MEDICAL CENTER",4,5,1,1,2,2,1,3
"BEAUMONT HOSPITAL, GROSSE POINTE",4,5,1,3,3,2,2,2
"MERIT HEALTH GILMORE MEMORIAL",3,9,2,2,3,2,3,1
"ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER",2,5,2,3,1,2,1,1
"ST CHARLES HOSPITAL",3,6,2,3,2,2,1,2
"GRAND ITASCA CLINIC AND HOSPITAL",3,5,2,2,3,2,2,2
"MONTEFIORE MEDICAL CENTER",1,5,1,1,1,1,1,3
"MOBERLY REGIONAL MEDICAL CENTER",2,9,2,2,2,2,3,2
"BAYSHORE COMMUNITY HOSPITAL",3,9,1,2,1,2,1,2
"CROUSE HOSPITAL",2,5,2,1,1,2,1,2
"MERCY HOSPITAL JEFFERSON",3,5,2,3,1,2,1,2
"RENOWN SOUTH MEADOWS MEDICAL CENTER",4,5,2,2,3,2,2,2
"CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL",4,5,2,2,3,2,2,2
"LAKE HURON MEDICAL CENTER",3,6,2,2,2,2,3,2
"UP HEALTH SYSTEM PORTAGE",3,7,2,2,3,2,3,2
"WEST BRANCH REGIONAL MEDICAL CENTER",4,2,2,3,2,2,2,1
"WOMAN'S CHRISTIAN ASSOCIATION",2,5,2,2,1,1,1,2
"COOPER UNIVERSITY HOSPITAL",2,5,2,1,1,2,1,3
"SAINT MARY'S REGIONAL MEDICAL CENTER",3,5,2,3,1,2,1,2
"MCLAREN CENTRAL MICHIGAN",4,5,2,3,2,2,2,2
"LINCOLN MEDICAL & MENTAL HEALTH CENTER",1,2,2,3,1,2,1,2
"BRONSON METHODIST HOSPITAL",3,5,3,1,3,2,2,3
"KALEIDA HEALTH",2,5,2,1,1,1,1,2
"UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER",1,3,2,1,1,2,1,2
"MEMORIAL HOSPITAL AT GULFPORT",2,2,2,2,2,2,2,1
"ST MARY'S HOSPITAL AT AMSTERDAM",3,5,3,3,1,2,3,2
"KALISPELL REGIONAL MEDICAL CENTER",4,5,2,2,3,2,2,2
"ABBOTT NORTHWESTERN HOSPITAL",4,5,2,1,3,2,2,2
"GERALD CHAMPION REGIONAL MEDICAL CENTER",2,5,3,3,1,2,2,2
"EASTERN NIAGARA HOSPITAL",2,5,2,2,1,1,2,2
"SCOTLAND MEMORIAL HOSPITAL",4,5,2,3,2,2,1,3
"ONEIDA HEALTHCARE",3,7,2,3,3,2,2,2
"NORTH MEMORIAL MEDICAL CENTER",3,5,2,2,1,2,2,3
"CAPITAL REGION MEDICAL CENTER",3,5,3,2,3,2,3,2
"COLUMBIA MEMORIAL HOSPITAL",1,5,2,1,1,2,1,2
"ST JOSEPH MERCY HOSPITAL",2,6,1,1,3,2,1,2
"BEAUMONT HOSPITAL - TRENTON",3,5,1,2,3,2,2,2
"MERCY MEDICAL CENTER",1,5,2,2,1,2,1,2
"ESSENTIA HEALTH ST MARYS - DETROIT LAKES",4,6,2,2,3,2,3,2
"ST JOSEPH'S HOSPITAL, INC",2,5,2,2,1,2,2,2
"ST LUKES HOSPITAL",4,5,1,1,3,3,3,3
"MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE",4,5,2,3,3,2,1,3
"SAINT JOSEPH MERCY LIVINGSTON HOSPITAL",4,7,2,2,3,2,2,2
"BOZEMAN HEALTH DEACONESS HOSPITAL",3,5,2,1,2,2,2,2
"FAIRVIEW LAKES MEDICAL CENTER",4,5,2,2,3,2,2,2
"SAINT MICHAEL'S MEDICAL CENTER",2,5,1,1,1,1,1,2
"UNIVERSITY MEDICAL CENTER-MESABI/ MESABA CLINICS",3,7,2,2,2,2,2,2
"BEAUMONT HOSPITAL - FARMINGTON HILLS",2,5,2,1,1,2,1,3
"SAN JUAN REGIONAL MEDICAL CENTER",2,5,2,1,1,2,1,3
"ST JOHN HOSPITAL AND MEDICAL CENTER",2,6,2,3,1,2,1,2
"MERCY HOSPITAL WASHINGTON",4,5,2,3,2,2,3,2
"LAKES REGION GENERAL HOSPITAL",3,5,2,2,2,2,2,2
"QUEENS HOSPITAL CENTER",1,2,2,2,1,2,1,2
"JERSEY CITY MEDICAL CENTER",2,5,2,2,1,2,1,2
"CAMBRIDGE MEDICAL CENTER",4,5,2,2,3,2,2,2
"VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY",3,5,1,2,2,2,1,3
"ST FRANCIS REGIONAL MEDICAL CENTER",3,6,2,2,3,2,3,2
"ST MARY MERCY HOSPITAL",3,5,1,2,2,2,2,2
"SOUTHERN NH MEDICAL CENTER",4,5,2,3,2,2,2,2
"OAKLAWN HOSPITAL",5,7,2,2,3,2,2,2
"METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL",4,5,2,2,3,2,3,2
"CATHOLIC MEDICAL CENTER",4,5,1,2,2,2,1,2
"GARDEN CITY HOSPITAL",2,5,2,3,1,2,1,2
"CHESHIRE MEDICAL CENTER",4,5,2,3,2,2,1,3
"JERSEY SHORE UNIVERSITY MEDICAL CENTER",3,5,2,1,1,2,1,2
"NEWARK BETH ISRAEL MEDICAL CENTER",1,5,1,1,1,2,1,2
"NORTH MISSISSIPPI MEDICAL CENTER",3,5,3,3,2,2,2,3
"HACKENSACK UNIVERSITY MEDICAL CENTER",2,5,1,1,2,1,1,3
"SAINT LUKES NORTHLAND HOSPITAL",3,5,2,2,2,2,2,2
"KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV",3,5,1,2,2,3,1,3
"CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST",2,5,1,2,1,2,1,3
"CITIZENS MEMORIAL HOSPITAL",3,1,3,3,2,2,3,2
"ST ELIZABETH MEDICAL CENTER",2,5,2,1,2,1,1,2
"NORTHERN HOSPITAL OF SURRY COUNTY",3,1,2,2,2,3,2,2
"HURON MEDICAL CENTER",4,7,2,2,2,2,3,1
"FRISBIE MEMORIAL HOSPITAL",4,5,2,2,3,2,2,2
"COX MEDICAL CENTER BRANSON",4,5,1,2,2,2,1,2
"CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER",2,5,2,1,1,2,1,2
"SPECTRUM HEALTH PENNOCK",3,7,2,1,3,2,2,2
"MERIT HEALTH RIVER OAKS",3,9,2,2,2,2,3,2
"CAREPOINT HEALTH-CHRIST HOSPITAL",2,6,2,1,1,2,2,2
"ST DOMINIC-JACKSON MEMORIAL HOSPITAL",3,6,1,2,3,2,2,3
"PHELPS COUNTY REGIONAL MEDICAL CENTER",3,2,2,2,2,2,2,1
"AUBURN MEMORIAL HOSPITAL",2,5,2,2,1,2,1,2
"STRONG MEMORIAL HOSPITAL",3,5,2,3,2,2,1,1
"HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS",1,5,2,1,1,2,1,2
"ORANGE REGIONAL MEDICAL CENTER",3,5,2,3,2,2,1,2
"SSM HEALTH ST. MARY'S HOSPITAL-AUDRAIN",3,5,2,3,2,2,3,2
"PARK NICOLLET METHODIST HOSPITAL",4,5,1,2,3,2,2,2
"TRUMAN MEDICAL CENTER HOSPITAL HILL",2,5,2,1,1,2,1,2
"ELMHURST HOSPITAL CENTER",1,2,2,2,1,2,1,2
"CENTRASTATE MEDICAL CENTER",4,5,1,3,2,2,1,3
"GILA REGIONAL MEDICAL CENTER",4,1,2,2,3,2,2,2
"PARKLAND HEALTH CENTER",3,5,2,2,1,2,2,3
"OVERLOOK MEDICAL CENTER",3,7,2,1,1,2,1,3
"FORREST GENERAL HOSPITAL",2,2,3,3,2,1,2,3
"NIAGARA FALLS MEMORIAL MEDICAL CENTER",2,7,2,1,1,2,2,2
"SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS",2,9,2,3,1,2,2,2
"MCLAREN OAKLAND",2,5,2,1,1,1,2,1
"NORTHERN MONTANA HOSPITAL",2,5,2,2,1,2,3,2
"BETH ISRAEL DEACONESS HOSPITAL-MILTON INC",4,4,1,2,2,2,2,2
"NASHOBA VALLEY MEDICAL CENTER",3,9,2,2,2,2,3,2
"MONMOUTH MEDICAL CENTER",4,5,1,2,2,2,1,2
"MCLAREN GREATER LANSING",3,5,3,3,2,2,1,1
"OSWEGO HOSPITAL",3,5,2,2,2,2,1,2
"STATEN ISLAND UNIVERSITY HOSPITAL",1,5,2,1,1,1,1,2
"CHILTON MEDICAL CENTER",2,5,2,1,1,2,1,1
"UNIVERSITY OF MICHIGAN HEALTH SYSTEM",3,5,1,3,3,3,1,3
"RUSH FOUNDATION HOSPITAL",2,5,2,1,1,2,2,2
"HARPER UNIVERSITY HOSPITAL",2,9,1,1,1,2,2,1
"BEAUMONT HOSPITAL - WAYNE",2,5,2,3,2,2,2,2
"MUNSON HEALTHCARE CADILLAC HOSPITAL",3,6,2,1,3,2,2,3
"ST JOSEPH'S MEDICAL CENTER",1,5,2,1,1,2,1,2
"BORGESS MEDICAL CENTER",3,7,3,1,1,2,1,2
"NEW YORK-PRESBYTERIAN HOSPITAL",4,5,1,3,1,3,1,1
"NYU WINTHROP HOSPITAL",2,5,1,1,1,2,1,3
"NEW YORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL",1,5,1,1,1,2,1,2
"JACOBI MEDICAL CENTER",1,2,2,1,1,1,1,2
"ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY",2,5,2,2,1,2,1,2
"BOONE HOSPITAL CENTER",4,7,2,3,3,2,2,3
"OLEAN GENERAL HOSPITAL",2,9,2,1,1,2,2,2
"LAKELAND HOSPITAL, ST JOSEPH",3,5,3,3,3,2,2,2
"ERIE COUNTY MEDICAL CENTER",2,5,2,2,2,2,1,2
"MIDMICHIGAN MEDICAL CENTER-MIDLAND",4,7,2,3,3,2,2,2
"CAMERON REGIONAL MEDICAL CENTER",2,5,2,2,1,2,3,2
"ESSENTIA HEALTH ST MARY'S MEDICAL CENTER",3,5,2,1,2,2,2,2
"PLAINVIEW HOSPITAL",2,5,1,1,1,2,1,3
"SPECTRUM HEALTH BIG RAPIDS HOSPITAL",3,2,2,2,2,2,2,2
"SOUTHEASTHEALTH",2,5,3,1,2,2,3,1
"TWIN RIVERS REGIONAL MEDICAL CENTER",2,9,2,2,2,2,2,2
"CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER",2,6,2,2,1,1,1,2
"INSPIRA MEDICAL CENTER WOODBURY",3,5,2,3,1,2,1,2
"COVENANT MEDICAL CENTER",2,5,2,1,2,2,2,1
"CARSON TAHOE REGIONAL MEDICAL CENTER",3,5,2,3,1,1,1,2
"MILFORD REGIONAL MEDICAL CENTER",3,7,1,1,3,2,2,3
"NEW YORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL",2,5,2,1,2,2,1,2
"BARNES-JEWISH ST PETERS HOSPITAL",2,7,2,1,2,2,2,3
"MERCY HOSPITAL JOPLIN",3,6,3,3,2,2,1,2
"SPECTRUM HEALTH - BUTTERWORTH CAMPUS",3,5,2,1,3,2,2,3
"SSM HEALTH ST JOSEPH HOSPITAL-ST CHARLES",2,5,2,2,2,2,2,2
"MARY LANNING HEALTHCARE",3,7,2,1,2,2,3,2
"WENTWORTH-DOUGLASS HOSPITAL",4,5,2,1,3,2,1,2
"NORWOOD HOSPITAL",3,9,2,3,1,2,1,2
"BEAUMONT HOSPITAL - DEARBORN",3,5,1,3,2,2,1,2
"MOUNT SINAI WEST",2,5,1,1,1,2,1,2
"ST JOSEPH'S REGIONAL MEDICAL CENTER",1,6,2,1,1,2,1,2
"HENRY FORD WYANDOTTE HOSPITAL",2,5,1,1,1,2,1,2
"SANFORD BEMIDJI MEDICAL CENTER",3,5,2,2,1,2,2,2
"REGIONS HOSPITAL",3,5,3,1,2,2,2,2
"ST JOSEPH HOSPITAL",4,7,1,1,2,2,1,2
"MOUNTAINVIEW HOSPITAL",2,9,2,1,1,2,2,3
"MARY HITCHCOCK MEMORIAL HOSPITAL",3,7,2,1,3,2,1,3
"HEALTHEAST ST JOHN'S HOSPITAL",4,5,2,1,2,2,2,2
"RIDGEVIEW MEDICAL CENTER",4,5,2,2,3,2,3,2
"PROMEDICA MONROE REGIONAL HOSPITAL",3,7,1,2,2,2,2,2
"SOUTHSIDE HOSPITAL",1,5,3,1,1,2,1,3
"MCLAREN - NORTHERN MICHIGAN",5,7,2,3,3,2,2,3
"HIGHLAND HOSPITAL",4,5,3,3,3,2,2,2
"SAINT BARNABAS MEDICAL CENTER",2,7,1,1,3,1,1,2
"F F THOMPSON HOSPITAL",3,5,2,3,1,2,1,2
"ROCHESTER GENERAL HOSPITAL",3,5,1,1,2,2,1,2
"UMASS MEMORIAL MEDICAL CENTER INC",1,5,1,1,1,1,1,2
"WAYNE MEMORIAL HOSPITAL",3,5,2,3,1,2,2,2
"SOUTH SHORE HOSPITAL",3,5,1,1,3,2,1,3
"ST JOSEPH MERCY CHELSEA",5,5,2,3,3,2,2,2
"EMERSON HOSPITAL -",4,5,2,2,3,2,1,3
"ST ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS",2,6,2,2,2,2,1,2
"MOUNT SINAI BETH ISRAEL/PETRIE CAMPUS",2,5,1,1,1,2,1,2
"SSM HEALTH SAINT JOSEPH HOSPITAL-LAKE SAINT LOUIS",3,6,2,3,2,2,2,2
"JAMAICA HOSPITAL MEDICAL CENTER",1,5,3,2,1,1,1,2
"ADIRONDACK MEDICAL CENTER",4,7,2,2,3,2,2,2
"PROVIDENCE - PROVIDENCE PARK HOSPITAL",4,6,1,2,1,2,1,2
"MOSAIC LIFE CARE AT ST JOSEPH",5,5,1,3,2,2,3,3
"SSM HEALTH ST FRANCIS HOSPITAL - MARYVILLE",4,6,2,2,3,2,3,2
"ST PATRICK HOSPITAL",4,6,3,2,3,2,3,2
"MAYO CLINIC HEALTH SYSTEM IN RED WING",4,5,2,2,3,2,3,2
"CHI HEALTH MIDLANDS",3,6,2,2,2,2,3,2
"COMMUNITY MEDICAL CENTER",2,5,3,3,1,2,1,3
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",1,5,3,1,1,2,2,1
"ST MARY'S MEDICAL CENTER",3,6,2,2,2,2,2,2
"SSM HEALTH DEPAUL HOSPITAL ST LOUIS",2,5,2,2,2,3,1,2
"CHI HEALTH IMMANUEL",3,5,2,2,2,2,2,2
"BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER",2,5,1,3,1,2,1,2
"LAKE REGIONAL HEALTH SYSTEM",3,7,3,3,1,3,2,3
"CAPITAL HEALTH SYSTEM-FULD CAMPUS",1,5,2,1,2,2,1,2
